iucn_id,sci_name,vuln,mp_particles_ml,log_mp_particles_ml,distance_km,log_toxic_pressure,eco_risk_score,eco_risk_index,eco_risk_class,geometry
55792,Lampyris noctiluca,1,1.1168203675869885e-09,-8.951627981452935,148.3067543487563,-10.366601329423753,4.299309106103802e-11,2.959411601945451e-07,medium,POINT (433459.729433 6619875.377046)
55793,Lampyris noctiluca,1,1.5842420631589421e-09,-8.799904412520375,130.8257338959838,-10.214877760491193,6.097084858303631e-11,4.1980111377556867e-07,medium,POINT (435463.246496 6638188.031344)
55794,Lampyris noctiluca,1,9.157502584344067e-10,-9.03774895893854,158.23161861999642,-10.452722306909358,3.525962532440021e-11,2.426605045850615e-07,medium,POINT (439870.284949 6611078.583413)
55795,Lampyris noctiluca,1,1.198071381445176e-09,-8.921154962318173,144.79538477625326,-10.336128310288991,4.6118130055583685e-11,3.174714975755941e-07,medium,POINT (442354.590893 6625518.374852)
55796,Lampyris noctiluca,1,2.013690901060845e-10,-9.693855820989864,233.96182814535462,-11.108829168960682,7.783426542541713e-12,5.3359881215340446e-08,low,POINT (445315.433314 6534967.517493)
55797,Lampyris noctiluca,1,3.807887066341413e-10,-9.418176922246737,202.10657053700953,-10.833150270217555,1.468418102439003e-11,1.0090347105127492e-07,medium,POINT (448921.561426 6568144.347309)
55798,Lampyris noctiluca,1,1.700816746125352e-09,-8.769087207137074,127.27561013508542,-10.184060555107893,6.54544902355903e-11,4.506917099069127e-07,medium,POINT (451847.939332 6647048.21071)
55799,Lampyris noctiluca,1,5.3585841644444e-10,-9.270140233973285,185.02530392582784,-10.685113581944103,2.0648400632478467e-11,1.4199468962516702e-07,medium,POINT (451973.496586 6586449.949538)
55800,Lampyris noctiluca,1,1.6876346732107764e-09,-8.772464297480475,127.66464151800061,-10.187437645451293,6.494748743118376e-11,4.471986522359322e-07,medium,POINT (452116.36402 6646735.913547)
55801,Lampyris noctiluca,1,1.687770281505417e-09,-8.772429422222766,127.6606239765046,-10.187402770193584,6.49527031348236e-11,4.4723458646243025e-07,medium,POINT (452117.555139 6646740.70438)
55802,Lampyris noctiluca,1,1.6870706448906096e-09,-8.772609382328746,127.68135492768391,-10.187582730299564,6.492579403425412e-11,4.470491929313759e-07,medium,POINT (452124.122989 6646721.008753)
55803,Lampyris noctiluca,1,1.6871729129982454e-09,-8.772583072334177,127.67832408222439,-10.187556420304995,6.492972742300943e-11,4.470762924930455e-07,medium,POINT (452130.690839 6646726.864205)
55804,Lampyris noctiluca,1,1.6163258229019516e-09,-8.791202479268621,129.82326072143687,-10.20617582723944,6.22048393423828e-11,4.283028436484432e-07,medium,POINT (454218.031479 6645253.729049)
55805,Lampyris noctiluca,1,1.5280197034330805e-09,-8.815586918095118,132.6324095854601,-10.230560266065936,5.88084501320416e-11,4.049030058532569e-07,medium,POINT (456620.751368 6643208.49226)
55806,Lampyris noctiluca,1,7.037052205355144e-10,-9.151992511188459,171.40082543148526,-10.566965859159277,2.7104046943673604e-11,1.8647165241998266e-07,medium,POINT (465696.974543 6605097.529736)
55807,Lampyris noctiluca,1,7.392266191678632e-10,-9.130635301367562,168.93857629056646,-10.54560864933838,2.8470254583379374e-11,1.9588430661942517e-07,medium,POINT (469022.388295 6609048.206838)
55808,Lampyris noctiluca,1,5.294746390541674e-10,-9.275335374028632,185.62453942005902,-10.69030872199945,2.0402870732852565e-11,1.4030308142913893e-07,medium,POINT (470277.938568 6591624.105146)
55809,Lampyris noctiluca,1,3.5345789632140404e-10,-9.450435344349007,205.83058415996274,-10.865408692319825,1.3632996012361704e-11,9.36612036752922e-08,medium,POINT (474221.030779 6571553.528829)
55810,Lampyris noctiluca,1,3.512089666101771e-10,-9.45319959186746,206.14973317421308,-10.868172939838278,1.3546498715776015e-11,9.306526999853203e-08,medium,POINT (474367.605153 6571266.944379)
55811,Lampyris noctiluca,1,4.1286843760293907e-10,-9.383137692462592,198.06235335383712,-10.79811104043341,1.5918016830882256e-11,1.094041333575571e-07,medium,POINT (483021.727082 6583334.445285)
55812,Lampyris noctiluca,1,3.973959368285487e-10,-9.399685099520273,199.9721475295582,-10.814658447491091,1.5322920647251895e-11,1.0530414560377257e-07,medium,POINT (485135.305726 6582166.809222)
55813,Lampyris noctiluca,1,7.097566819104108e-10,-9.14827904876284,170.97269232521643,-10.563252396733658,2.7336795458092705e-11,1.880752017034084e-07,medium,POINT (487208.419735 6615448.050415)
55814,Lampyris noctiluca,1,7.955265369955366e-10,-9.098799750711883,165.26859250799268,-10.513773098682702,3.063563603828982e-11,2.1080296631111543e-07,medium,POINT (494179.724923 6626199.420291)
55815,Lampyris noctiluca,1,1.0943511248460425e-09,-8.960446641427337,149.32295848565457,-10.375419989398155,4.212888941715545e-11,2.8998713754378007e-07,medium,POINT (496298.101437 6647156.452846)
55816,Lampyris noctiluca,1,1.247824697872958e-10,-9.900379881984135,257.89020383242126,-11.315353229954953,4.837787299511365e-12,3.306554030759712e-08,low,POINT (499738.363508 6525529.984161)
55817,Lampyris noctiluca,1,1.2478733399947804e-10,-9.900363087436633,257.88825479367176,-11.31533643540745,4.837974384595303e-12,3.30668292531057e-08,low,POINT (499743.695711 6525534.180425)
55818,Lampyris noctiluca,1,1.2478154412656328e-10,-9.900383078064065,257.89057474356264,-11.315356426034883,4.8377516971755165e-12,3.306529502096111e-08,low,POINT (499745.142865 6525532.257138)
55819,Lampyris noctiluca,1,1.2484823791069762e-10,-9.900152860934197,257.86385766470414,-11.315126208905015,4.8403168427191376e-12,3.3082967904109785e-08,low,POINT (499771.202758 6525571.247516)
55820,Lampyris noctiluca,1,7.842818602857199e-10,-9.10497443447026,165.98037924293857,-10.519947782441077,3.020314847252768e-11,2.0782329046699967e-07,medium,POINT (501969.083652 6630618.385736)
55821,Lampyris noctiluca,1,1.9506911997248315e-10,-9.70759080042495,235.5511049557485,-11.122564148395767,7.54111999894166e-12,5.169048072387443e-08,low,POINT (506624.030611 6552871.148102)
55822,Lampyris noctiluca,1,6.281589779155421e-10,-9.201239601760301,177.0791386145583,-10.61621294973112,2.419842222752081e-11,1.6645299647659354e-07,medium,POINT (506721.657804 6620383.328527)
